"cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","numberOfReviews","name","website","id","longitude","latitude","description","priceRange","webUrl","rating","rankingPosition","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","rawRanking","establishmentTypes/0","establishmentTypes/1"
"Seafood","Bar","Grill","Pub","Wine Bar",,,"Reservations","Seating","Table Service","Parking Available","Serves Alcohol","Wine and Beer","Free Wifi","Accepts Credit Cards",,,,,,,,,,,,,,,,,,,"Crab",,,,,,,,,,,,,,,,,"29","The Jahazi Grill","http://www.serenahotels.com","15887310","39.75006","-3.972096","Specialized in preparing all types of grilled food – seafood, other meats and vegetarian, the alluring ocean views and the gentle sounds of the surf further complements the seafood menu at this Arabian Swahili dhow-themed restaurant. Enjoy an array of foods prepared in many different ways using only the finest and freshest local ingredients to meet each customer’s specifications.","KES 296,472 - KES 592,944","https://www.tripadvisor.com/Restaurant_Review-g294210-d15887310-Reviews-The_Jahazi_Grill-Mombasa_Coast_Province.html","5","14",,"Africa/Nairobi","870","750","1320","1170","870","750","1320","1170","870","750","1320","1170","870","750","1320","1170","870","750","1320","1170","870","750","1320","1170","870","750","1320","1170","3.557360887527466","Restaurants",
"Pizza","Fusion","Italian","Fast Food","Vegetarian Friendly","Vegan Options",,"Delivery","Takeout","Seating","Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48","Milios Pizza Mombasa","http://miliospizza.business.site","12609369","39.67638","-4.067368","Milios Pizza serving the best Authentic Italian wood fired oven pizzas in Mombasa","KES 103,765 - KES 177,883","https://www.tripadvisor.com/Restaurant_Review-g294210-d12609369-Reviews-Milios_Pizza_Mombasa-Mombasa_Coast_Province.html","5","12",,"Africa/Nairobi","870","720","1200","990",,,,,"870","720","1200","990","870","720","1200","990","870","720","1200","990","870","720","1200","990","870","720","1200","990","3.595688581466675","Restaurants",
"Swiss","Diner","Dining bars","Vegetarian Friendly",,,,"Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Street Parking","Free off-street parking","Television","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Free Wifi","Family style","Live Music","Drive Thru",,,,,,,,,,,,,,,,,,,,,,,,,,,,"85","Safari Inn Bar & Restaurant","http://www.safariinn-mombasa.com","1167454","39.751266","-3.970203","Restaurant and bar with cult status, plus a meeting place for international guests in Mombasa, Kenya. Casual, cozy atmosphere with delicious dishes from Africa, Switzerland and Europe. Live music on several evenings and Tuesday + Thursday HAPPY HOUR for drinks and food. Welcome, Karibuni, Welcome, Grüezi, Bienvenue, Benvenuto!","KES 889 - KES 2,965","https://www.tripadvisor.com/Restaurant_Review-g294210-d1167454-Reviews-Safari_Inn_Bar_Restaurant-Mombasa_Coast_Province.html","4.5","10",,"Africa/Nairobi","1440","600",,,"1440","600",,,"1440","600",,,"1440","600",,,"1440","600",,,"1440","600",,,"1440","600",,,"3.6278958320617676","Restaurants",
"European","Cafe","Vegetarian Friendly","Vegan Options",,,,"Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Street Parking","Free off-street parking","Accepts American Express","Accepts Mastercard","Accepts Visa","Cash Only","Accepts Discover","Delivery","Free Wifi","Accepts Credit Cards","Gift Cards Available",,,,,,,,,,,"Waffles & Crepes","Sandwiches","Burger","Wings","Cupcakes","Waffles","Cakes",,,,,,,,,,,"123","MNKafe","http://www.mnkafe.com","3902895","39.669487","-4.073093","MNKafé uses only the finest quality ingredients, producing an excellent combination of flavour and taste. Our recipes undergo a number of testing phases before being rolled out; giving you assurance that we serve the best quality products that can truly add value to those cherished memories you build over time.","KES 296 - KES 3,558","https://www.tripadvisor.com/Restaurant_Review-g294210-d3902895-Reviews-MNKafe-Mombasa_Coast_Province.html","4.5","11",,"Africa/Nairobi","1380","540",,,,,,,"1320","540",,,"1320","540",,,"1320","540",,,"1380","540",,,"1380","540",,,"3.603898048400879","Coffee & Tea","Dessert"
"African","Street Food","Arabic","Halal",,,,"Takeout","Outdoor Seating","Seating","Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,,,"Juice & Smoothies","Shawarma","Curry","Beef",,,,,,,,,,,,,,"178","Tarboush Cafe",,"3193772","39.67503","-4.061283","They are best in Biryani, Pilau and Kebabs in mombasa town. Most visited by locals.",,"https://www.tripadvisor.com/Restaurant_Review-g294210-d3193772-Reviews-Tarboush_Cafe-Mombasa_Coast_Province.html","4","15",,"Africa/Nairobi","1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1350","600",,,"1350","600",,,"3.545161724090576","Coffee & Tea",
"African","Cafe","Vegetarian Friendly",,,,,"Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,,,"Juice & Smoothies",,,,,,,,,,,,,,,,,"90","Jahazi Coffee House and Restaurant","https://www.facebook.com/jahazicoffeehouse","2417304","39.678986","-4.061385","Go straight north from the Fort Jesus on Ndia Kuu Street. Look out for us on your right. 
We love to serve","KES 7,412 - KES 296,472","https://www.tripadvisor.com/Restaurant_Review-g294210-d2417304-Reviews-Jahazi_Coffee_House_and_Restaurant-Mombasa_Coast_Province.html","4.5","9",,"Africa/Nairobi",,,,,"1080","540",,,"1080","540",,,"1080","540",,,"1080","540",,,"1080","540",,,"1080","540",,,"3.689406633377075","Coffee & Tea",
"African","International","Contemporary","Middle Eastern","Vegan Options","Vegetarian Friendly","Gluten Free Options","Seating","Parking Available","Highchairs Available","Free Wifi","Table Service","Delivery","Buffet","Validated Parking","Serves Alcohol","Full Bar","Live Music",,,,,,,,,,,,,,,,"Salad",,,,,,,,,,,,,,,,,"144","Pavilions Restaurant","http://www.sarovahotels.com/whitesands/dining.aspx","1800892","39.73095","-3.99514",,"KES 4,447","https://www.tripadvisor.com/Restaurant_Review-g294210-d1800892-Reviews-Pavilions_Restaurant-Mombasa_Coast_Province.html","4.5","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.8693056106567383","Restaurants",
"Barbecue","Indian","Vegetarian Friendly","Vegan Options","Halal","Gluten Free Options",,"Takeout","Seating","Parking Available","Street Parking","Highchairs Available","Wheelchair Accessible","Accepts Mastercard","Accepts Visa","Reservations","Private Dining","Accepts Credit Cards","Table Service","Free Wifi","Gift Cards Available",,,,,,,,,,,,,"Juice & Smoothies","Salad","Curry","Prawns","Fish",,,,,,,,,,,,,"183","Shehnai Restaurant","http://www.shehnai.co.ke","2002413","39.669704","-4.060349","Shehnai Restaurant is known for the best Mughlai and Tandoori Cuisine in the Heart of Mombasa City. Its recognized for the Royal Ambiance and Personalized Service alongside the tantalizing and mouth watering dishes!!!","KES 1,186 - KES 3,706","https://www.tripadvisor.com/Restaurant_Review-g294210-d2002413-Reviews-Shehnai_Restaurant-Mombasa_Coast_Province.html","4.5","5",,"Africa/Nairobi","870","690","1305","1125",,,,,"870","690","1305","1125","870","690","1305","1125","870","690","1305","1125","870","690","1305","1125","870","690","1305","1125","3.9358890056610107","Restaurants",
"Healthy",,,,,,,"Takeout","Outdoor Seating","Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Accepts Credit Cards",,,,,,,,,,,,,,,,,,,,"Ice Cream","Frozen Yogurt",,,,,,,,,,,,,,,,"47","Planet Yogurt Nyali Centre","http://www.planetyogurt.co.ke/","3877776","39.68578","-4.05749",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d3877776-Reviews-Planet_Yogurt_Nyali_Centre-Mombasa_Coast_Province.html","4","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.3105945587158203","Dessert",
"Cafe","Vegetarian Friendly","Vegan Options",,,,,"Takeout","Seating","Outdoor Seating","Table Service",,,,,,,,,,,,,,,,,,,,,,,"Waffles & Crepes","Waffles","Cakes",,,,,,,,,,,,,,,"68","Cafe Mocha",,"2667293","39.685696","-4.049341","Cafe Mocha has been Mombasa's premier Coffee & Desserts Restaurant, for the last 7 years. Enjoy authentic, Middle East Cuisine – LEBANESE & tantalizing Coffee and Desserts in a unique setting at the Nyali Cinemax Complex. Open throughout the day, Café Mocha also offers Sandwiches, Pizza’s, Jacket Potatoes, Savoury Waffles & much more. Mocha’s Sheesha Bar opens daily from 4pm to Midnight. Sporting Events are shown LIVE on Big Screen. Free Wifi.",,"https://www.tripadvisor.com/Restaurant_Review-g294210-d2667293-Reviews-Cafe_Mocha-Mombasa_Coast_Province.html","4","24",,"Africa/Nairobi","1410","570",,,"1410","510",,,"1410","510",,,"1410","510",,,"1410","510",,,"1470","510",,,"1470","510",,,"3.396974802017212","Dessert",
"Seafood","International","Vegetarian Friendly","Vegan Options",,,,"Seating","Wheelchair Accessible","Serves Alcohol","Reservations","Parking Available","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Cash Only","Full Bar","Wine and Beer","Accepts Credit Cards","Waterfront","Beach",,,,,,,,,,,,"Crab","Lobster","Oyster","Calamari","Prawns","Seafood Platters","Fish",,,,,,,,,,,"131","Sea Haven Restaurant","http://www.seahavenrestaurant.net/Website_4/Welcome.html","2465613","39.74704","-3.979485","Welcome to our restaurant! We offer a wide range of specialties that include seafood, fish, steaks, oriental curries & takeaway. We have been in operation since Nov. 1982, apart from a brief spell of three years between 2008 and 2010 when we were closed for major renovation. We now have a very well structured restaurant with an air conditioned dining hall which can hold a conference for about 80 pax and various levels of sea view terraces where you can sit comfortably day or night and enjoy our truly mouthwatering cuisine. Our fully stocked bar will serve you with cold drinks, wines and spirits and fresh juices to accompany your meal. The atmosphere is relaxing with piped background music. You can approach us either from the Mombasa - Malindi Highway or directly from the beach through our well-built beach steps at low tide. We can accommodate your next catering event. Our well trained chefs will be at hand for any occasion such as special birthday parties, wedding or company parties.","KES 1,482 - KES 5,929","https://www.tripadvisor.com/Restaurant_Review-g1183067-d2465613-Reviews-Sea_Haven_Restaurant-Shanzu_Mombasa_Coast_Province.html","4.5","1",,"Africa/Nairobi","1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"3.7550723552703857","Restaurants",
