"cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","numberOfReviews","name","website","id","longitude","latitude","description","priceRange","webUrl","rating","rankingPosition","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","rawRanking","establishmentTypes/0","establishmentTypes/1"
"Seafood","Vegetarian Friendly","Vegan Options",,,,,"Seating","Parking Available","Free off-street parking","Serves Alcohol","Accepts American Express","Accepts Mastercard","Accepts Visa","Reservations","Outdoor Seating","Accepts Credit Cards","Table Service","Full Bar","Live Music",,,,,,,,,,,,,,"Lobster","Prawns","Seafood Platters","Fish",,,,,,,,,,,,,,"309","Tamarind Dhow","https://tamarind.co.ke/tamarind-dhow/","2262162","39.680702","-4.043657",,"KES 9,635","https://www.tripadvisor.com/Restaurant_Review-g294210-d2262162-Reviews-Tamarind_Dhow-Mombasa_Coast_Province.html","4.5","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.199050426483154","Restaurants",
"Fast Food","Vegetarian Friendly",,,,,,"Delivery","Takeout","Seating","Street Parking","Highchairs Available","Wheelchair Accessible","Accepts Mastercard","Accepts Visa","Digital Payments","Cash Only","Free Wifi","Table Service","Accepts Credit Cards",,,,,,,,,,,,,,"Ice Cream","Juice & Smoothies","Burger",,,,,,,,,,,,,,,"156","Blue Room Restaurant","http://www.blueroom.co.ke","2723620","39.671463","-4.059909","Blue Room was established in 1952 and is Mombasa’s most famous landmark restaurant. The menu includes a variety of Pizzas and Hamburgers, Salads, Sandwiches, Steak, Chicken, Fish, Samosas, Bhajias, Fresh Fruit Juices, Milk Shakes, Faluda, Cappuccino, Cakes, Tarts, Croissants – all using traditional recipes and made fresh inhouse. Blue Room maintains a long-standing tradition of quality, offering customers quality food at fair prices. Our products are always prepared with the highest quality ingredients, and are certain to please the most discriminating connoisseurs.","KES 148 - KES 1,334","https://www.tripadvisor.com/Restaurant_Review-g294210-d2723620-Reviews-Blue_Room_Restaurant-Mombasa_Coast_Province.html","4","13",,"Africa/Nairobi","1320","420",,,"1320","420",,,"1320","420",,,"1320","420",,,"1320","420",,,"1320","420",,,"1320","420",,,"3.5935556888580322","Coffee & Tea","Dessert"
"African","Seafood","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,"Reservations","Outdoor Seating","Seating","Parking Available","Validated Parking","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Live Music","Waterfront",,,,,,,,,,,,,,"Crab","Lobster","Oyster","Shrimp","Salad","Chili","Chili Crab","Risotto","Tuna","Clams","Prawns","Seafood Platters","Beef","Lamb","Fish",,,"759","Tamarind Mombasa","http://www.tamarind.co.ke/tamarind-mombasa/","1214217","39.68145","-4.049403",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d1214217-Reviews-Tamarind_Mombasa-Mombasa_Coast_Province.html","4.5","2",,"Africa/Nairobi","1170","720",,,"1170","720",,,"1170","720",,,"1170","720",,,"1170","720",,,"1170","720",,,"1170","720",,,"4.223034858703613","Restaurants",
"Cafe","European","International","Vegetarian Friendly","Vegan Options","Gluten Free Options",,"Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards",,,,,,,,,,,,,,,,"Juice & Smoothies","Sandwiches","Pasta","Cheesecake","Filet Mignon","Burger","Salad","Pancakes","Eggs Benedict","Hummus","Salmon","Prawns","Toasts","Beef","Pesto","Cakes","Fish","567","Cafesserie Mombasa","http://cafesserie.com","2244387","39.720768","-4.019894",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d2244387-Reviews-Cafesserie_Mombasa-Mombasa_Coast_Province.html","4.5","1",,"Africa/Nairobi","1410","450",,,"1410","450",,,"1410","450",,,"1410","450",,,"1410","450",,,"1410","450",,,"1410","450",,,"4.32729959487915","Restaurants",
"Bar","Barbecue","African","Seafood",,,,"Reservations","Seating","Table Service","Delivery","Takeout","Outdoor Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Wine and Beer","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","Live Music","Beach","Playgrounds","Family style",,,,,,,,"Beef",,,,,,,,,,,,,,,,,"54","Char-Choma Restaurant","http://charchoma.com/","19859417","39.732517","-3.996582","A Breathtaking Beachfront Choma restaurant with an African set up that allows families and large groups of friends or colleagues to gather and enjoy good food ,good music with good company and a view! Our grilled meat is one of the many things you won't forget about us!","KES 148,236 - KES 741,180","https://www.tripadvisor.com/Restaurant_Review-g294210-d19859417-Reviews-Char_Choma_Restaurant-Mombasa_Coast_Province.html","3.5","58",,"Africa/Nairobi","1410","360",,,"1410","360",,,"1410","390",,,"1410","360",,,"1410","360",,,"1410","360",,,"1410","360",,,"3.1179749965667725","Restaurants",
"Seafood","International","Vegetarian Friendly",,,,,"Reservations","Parking Available","Seating","Street Parking","Free off-street parking","Serves Alcohol","Accepts Mastercard","Accepts Visa","Accepts Credit Cards","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49","Imani Dhow Restaurant","http://severinsealodge.com/de/restaurants-bars/imani-dhow/","6387392","39.739822","-3.987154","Our Imani Dhow is a so-called Zanzibar Jahazi that was built over 45 years ago. In the past it weighed about 90 tons and on its way between Zanzibar, Dar-es-Saalam, Tanja and Mombasa it transported diverse products like cotton or corn and many more. Under the skilled hands of her former Bajuni Crew of 16 sailors it became a just beautiful sailing ship. Imani means ""trust"" and our dhow paid this trust back during her active years and survived all storms and dangers. Today the Imani Dhow is home to our great kitchen crew who will enthuse you with culinary highlights. Here you will enjoy award-winning à la carte fish dishes, fine seafood in diverse variations and also international cuisine. A warm welcome aboard!","KES 741 - KES 4,447","https://www.tripadvisor.com/Restaurant_Review-g1062161-d6387392-Reviews-Imani_Dhow_Restaurant-Bamburi_Mombasa_Coast_Province.html","4.5","1",,"Africa/Nairobi",,,,,"1320","1140",,,"1320","1140",,,"1320","1140",,,"1320","1140",,,"1320","1140",,,"1320","1140",,,"3.498318672180176","Restaurants",
"African",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6","African Pot Dishes Restaurant","http://www.africanpotdishes.com/","16662710","39.752327","-3.97153","We specialize in east and west african cuisine","KES 2,965 - KES 66,706","https://www.tripadvisor.com/Restaurant_Review-g1183067-d16662710-Reviews-African_Pot_Dishes_Restaurant-Shanzu_Mombasa_Coast_Province.html","5","2",,"Africa/Nairobi",,,,,"1260","420",,,"1260","420",,,"1260","420",,,"1260","420",,,"1260","420",,,"1260","420",,,"3.134960651397705","Restaurants",
"Indian","African","Bar","Pub",,,,"Seating","Television","Serves Alcohol","Reservations","Outdoor Seating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40","Karoga Country Club","http://www.facebook.com/KorogaCountryClubMombasa","1857384","39.696594","-4.051487","It is a club adding a new dimension to Mombasa's social scene. 'Koroga' means stir or cook in Swahili, and this is what you can do at Koroga country club. Sit in the privacy of your banda and show off your Koroga skills. The a la carte which has a good variety of cuisine that suite all palates. The barman at the clubs; very own well stocked Mvule bar is on hand to stir up your favorite cocktail or pour your favorite tipple. Located in Nyali it is open from 11am to 11pm",,"https://www.tripadvisor.com/Restaurant_Review-g294210-d1857384-Reviews-Karoga_Country_Club-Mombasa_Coast_Province.html","3.5","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.138777017593384","Restaurants",
"Italian","Pizza","Seafood","European","Vegetarian Friendly","Vegan Options","Gluten Free Options","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Television","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Live Music","Waterfront","Beach",,,,,,,,,,,,"Ice Cream","Pasta","Burger","Salad","Gelato","Prawns","Pesto","Fish",,,,,,,,,,"790","Yul's Restaurant","http://www.aquadrom-yuls.com","911572","39.736965","-3.990543",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d911572-Reviews-Yul_s_Restaurant-Mombasa_Coast_Province.html","4","4",,"Africa/Nairobi","1380","600",,,,,,,"1380","600",,,"1380","600",,,"1380","600",,,"1380","600",,,"1380","600",,,"4.036386489868164","Restaurants",
"Mexican","Indian","African",,,,,"Takeout","Reservations","Outdoor Seating","Buffet","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Accepts Mastercard","Accepts Visa","Free Wifi","Accepts Credit Cards","Table Service","Live Music","Family style",,,,,,,,,,,,,,,,,,,,,,,,,,,"4","S Five 8",,"23687245","39.70012","-4.044676","Rooftop Lounge/Restaurant/Bar",,"https://www.tripadvisor.com/Restaurant_Review-g294210-d23687245-Reviews-S_Five_8-Mombasa_Coast_Province.html","5","60",,"Africa/Nairobi","1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"3.1141533851623535","Restaurants",
"Barbecue","Asian","Central Asian","Arabic",,,,"Reservations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14","Al Waris Restaurant",,"15067719",,,,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d15067719-Reviews-Al_Waris_Restaurant-Mombasa_Coast_Province.html","4","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.1571083068847656","Restaurants",
"Grill","Bar","Barbecue","Pub",,,,"Reservations","Parking Available","Free off-street parking","Television","Serves Alcohol","Full Bar","Accepts American Express","Accepts Mastercard","Accepts Visa","Cash Only","Free Wifi","Takeout","Outdoor Seating","Seating","Highchairs Available","Wheelchair Accessible","Wine and Beer","Accepts Credit Cards","Family style",,,,,,,,"Burger",,,,,,,,,,,,,,,,,"24","Grill House","http://www.facebook.com/BRgrillhouse/","11955052","39.685","-4.047312","Grill House is a new restaurant and lounge in Nyali (Ratna Square). Enjoy great food and an extensive and varied range of cocktails, wines, spirits & whiskys - all in a comfortable, modern ambiance!",,"https://www.tripadvisor.com/Restaurant_Review-g294210-d11955052-Reviews-Grill_House-Mombasa_Coast_Province.html","4","55",,"Africa/Nairobi","1260","660",,,"1260","660",,,"1260","660",,,"1260","660",,,"1260","660",,,"1260","660",,,"1260","660",,,"3.1417930126190186","Restaurants",
"Indian","International","Asian","Healthy","Vegetarian Friendly","Vegan Options",,"Reservations","Buffet","Parking Available","Validated Parking","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Cash Only","Free Wifi","Accepts Discover","Delivery","Takeout","Seating","Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,,,,,,"19","Namaskar Restaurant","http://www.bliss.co.ke/dining.html","12219823","39.693146","-4.048609","Relax in an atomosphere of peace, tranquilty and serenity as you share a meal or drink with friends, family or business associates. Experience the finest tastes of India at our Namaskar Restaurant; or contintental cuisine by the pool at Spirit of the Seas Restaurant.","KES 1,334 - KES 2,965","https://www.tripadvisor.com/Restaurant_Review-g294210-d12219823-Reviews-Namaskar_Restaurant-Mombasa_Coast_Province.html","4","50",,"Africa/Nairobi","1410","660",,,"1410","660",,,"1410","660",,,"1410","660",,,"1410","660",,,"1410","660",,,"1410","660",,,"3.159815788269043","Restaurants",
"Pizza","Seafood","Fast Food","International","Grill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6","Poco Loco Bistro",,"24045564","39.67249","-4.056656",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d24045564-Reviews-Poco_Loco_Bistro-Mombasa_Coast_Province.html","5","49",,"Africa/Nairobi","1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"3.168708324432373","Restaurants",
"African","Seafood","Vegetarian Friendly",,,,,"Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17","SmugglersCove","https://www.facebook.com/Smugglers-Cove-182486331947339/","6416280","39.71543","-4.03521","This gourmet restaurant specialises in seafood and is open daily from 1930hrs to 2230 hrs. All – Inclusive and Full Board passengers qualify for a 50 percent discount, while Half Boarders get 25 percent off the food listed prices. Booking is required, and is made a day before.",,"https://www.tripadvisor.com/Restaurant_Review-g294210-d6416280-Reviews-SmugglersCove-Mombasa_Coast_Province.html","4","52",,"Africa/Nairobi","1350","1170",,,"1350","1170",,,"1350","1170",,,"1350","1170",,,"1350","1170",,,"1350","1170",,,"1350","1170",,,"3.1564366817474365","Restaurants",
"Lebanese","Cafe","Mediterranean","Middle Eastern","Vegetarian Friendly",,,"Outdoor Seating","Seating","Takeout","Reservations","Highchairs Available",,,,,,,,,,,,,,,,,,,,,,"Shawarma","Cakes",,,,,,,,,,,,,,,,"55","Cafe Arabika","http://www.cafearabika.co.ke/","8589655","39.684093","-4.058486",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d8589655-Reviews-Cafe_Arabika-Mombasa_Coast_Province.html","4","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.200313091278076","Restaurants",
"African","Barbecue","Vegetarian Friendly",,,,,"Takeout","Delivery","Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,"Fish",,,,,,,,,,,,,,,,,"31","New Island Dishes And Barbeque",,"2417303","39.67901","-4.062278","Google ""Island Dishes"" and you will see it listed on the Lonely Planet website. It is also on the Google Maps of Mombasa and is a top pick in the current edition of Rough Guide Kenya.","KES 741 - KES 4,447","https://www.tripadvisor.com/Restaurant_Review-g294210-d2417303-Reviews-New_Island_Dishes_And_Barbeque-Mombasa_Coast_Province.html","4","41",,"Africa/Nairobi","1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"3.21152400970459","Restaurants",
"African","Halal","Vegetarian Friendly","Vegan Options",,,,"Takeout","Seating","Table Service",,,,,,,,,,,,,,,,,,,,,,,,"Shawarma",,,,,,,,,,,,,,,,,"29","Barka Restaurant","http://www.facebook.com/pages/Barka-Restaurant/193585450699329","12423843","39.6765","-4.061324",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d12423843-Reviews-Barka_Restaurant-Mombasa_Coast_Province.html","4","46",,"Africa/Nairobi","1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"3.1867527961730957","Restaurants",
"Cafe","Deli","Grill","Diner","International",,,"Takeout","Outdoor Seating","Private Dining","Seating","Parking Available","Wheelchair Accessible","Accepts Mastercard","Accepts Visa","Digital Payments","Cash Only","Free Wifi","Non-smoking restaurants","Reservations","Highchairs Available","Full Bar","Family style",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9","Cool Beans","http://coolbeans.co.ke","25944019","39.704887","-4.040433",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d25944019-Reviews-Cool_Beans-Mombasa_Coast_Province.html","5","34",,"Africa/Nairobi","1380","420",,,"1320","420",,,"1320","420",,,"1320","420",,,"1380","420",,,"1380","420",,,"1380","420",,,"3.2818219661712646","Restaurants",
"Bar","Pub",,,,,,"Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17","Moonshine Beach Bar","http://www.facebook.com/MoonshineMombasa/","12009331","39.71014","-4.04716",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d12009331-Reviews-Moonshine_Beach_Bar-Mombasa_Coast_Province.html","4","65",,"Africa/Nairobi","1560","720",,,"1560","720",,,"1560","720",,,"1560","720",,,"1620","720",,,"1740","720",,,"1740","720",,,"3.1095094680786133","Restaurants",
"Seafood","Italian","Pizza","European","Vegetarian Friendly",,,"Takeout","Reservations","Outdoor Seating","Seating","Wheelchair Accessible","Serves Alcohol","Table Service","Highchairs Available",,,,,,,,,,,,,,,,,,,"Pasta","Cheesecake","Crab","Risotto","Tiramisu","Pesto","Fish",,,,,,,,,,,"109","Roberto's","http://www.robertosmombasa.com","10920334","39.709175","-4.035256",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d10920334-Reviews-Roberto_s-Mombasa_Coast_Province.html","4","22",,"Africa/Nairobi","1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"3.409756898880005","Restaurants",
"Italian","African","Bar","Pizza",,,,"Outdoor Seating","Seating","Parking Available","Private Dining","Television","Serves Alcohol","Full Bar","Wine and Beer","Free Wifi","Accepts Credit Cards","Live Music","Waterfront","Beach","Sports bars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89","The New Big Tree Beach Resort","http://www.thenewbigtreebeachresort.com","2175668","39.729115","-4.002341","The New Big Tree is small beach resort on the North Coast of Kenya in Bamburi Beach, few kilometres from Mombasa town, where you can enjoy privacy and tranquility for your vacation time on its marvelous white sands beach. We strive for the customer's satisfaction at the most affordable prices, because Paradise is for all and not just for few ones. Take a deep breath... come and realize your dreams for an unforgettable vacation.",,"https://www.tripadvisor.com/Restaurant_Review-g294210-d2175668-Reviews-The_New_Big_Tree_Beach_Resort-Mombasa_Coast_Province.html","3.5","42",,"Africa/Nairobi","1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"3.208756685256958","Restaurants",
"Lebanese","Seafood","Mediterranean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","Kijani Beach Bistro",,"25093664","39.697548","-4.058571","Kijani beach bistro is a stunning contemporary restaurant serving innovative Lebanese cuisine along the beautiful Nyali beach, coast",,"https://www.tripadvisor.com/Restaurant_Review-g294210-d25093664-Reviews-Kijani_Beach_Bistro-Mombasa_Coast_Province.html","4.5","64",,"Africa/Nairobi","1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"3.1111226081848145","Restaurants",
"Barbecue","Arabic",,,,,,"Reservations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","Adams barbecue","http://www.adamsbbq.com","13811742","39.66274","-4.04744",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d13811742-Reviews-Adams_barbecue-Mombasa_Coast_Province.html","4.5","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.2054643630981445","Restaurants",
"African","Indian",,,,,,"Delivery","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Digital Payments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","Fischer's Hut","http://www.facebook.com/Fischershutudor","14997621","39.665993","-4.042227",,"KES 148 - KES 2,224","https://www.tripadvisor.com/Restaurant_Review-g294210-d14997621-Reviews-Fischer_s_Hut-Mombasa_Coast_Province.html","5","61",,"Africa/Nairobi","1380","1020",,,,,,,"1380","1020",,,"1380","1020",,,"1380","1020",,,"1380","1020",,,"1380","1020",,,"3.1129915714263916","Restaurants",
"Chinese","Asian","Vegetarian Friendly",,,,,"Takeout","Reservations","Seating","Parking Available","Serves Alcohol",,,,,,,,,,,,,,,,,,,,,,"Noodle","Crab","Prawns","Beef","Fish","Pork",,,,,,,,,,,,"81","Galaxy Chinese Restaurant",,"2034253","39.673664","-4.076701",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d2034253-Reviews-Galaxy_Chinese_Restaurant-Mombasa_Coast_Province.html","4","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.27591609954834","Restaurants",
"Bar","Mediterranean","Pub","Wine Bar","Fusion","Vegetarian Friendly",,"Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Free off-street parking","Television","Wheelchair Accessible","Serves Alcohol","Full Bar","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","Highchairs Available","Wine and Beer",,,,,,,,,,"Tapas",,,,,,,,,,,,,,,,,"104","Tapas Cielo","http://www.tapascielo.com","7002905","39.718987","-4.02159","Welcome to Tapas Cielo voted one of the top 10 bars in Kenya, a stunning lounge bar and restaurant in Nyali, Contemporary decor and comfortable seating create a welcoming atmosphere in Tapas Cielo, where you can meet friends and unwind. Choose your favourite cocktail from our wide cocktail collection including such classics as long island Ice Tea, Whisky sour or a perfect martini. Enjoy our special mouth-watering food including our special tapas selection. The lounge is located in upmarket business hub of Nyali ,near shopping malls and tourists hotels ,it’s a walking distance from the famous Whitesands beaches of North Mombasa, fringed by the coral reef which forms part of the Mombasa marine reserve, yet it’s only a fifteen minute drive from Mombasa town centre.",,"https://www.tripadvisor.com/Restaurant_Review-g294210-d7002905-Reviews-Tapas_Cielo-Mombasa_Coast_Province.html","4","16",,"Africa/Nairobi","1620","720",,,"1620","720",,,"1620","720",,,"1620","720",,,"1620","720",,,"1740","720",,,"1740","720",,,"3.5101122856140137","Restaurants",
"Indian","Barbecue","Grill","Vegetarian Friendly","Halal",,,"Takeout","Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23","Shaam E Bahaar",,"7282199","39.67377","-4.0724",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d7282199-Reviews-Shaam_E_Bahaar-Mombasa_Coast_Province.html","4.5","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.255063056945801","Restaurants",
"Indian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","Bombay Bistro","https://www.facebook.com/BombayBistroKE/","15683798","39.66723","-4.07263",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d15683798-Reviews-Bombay_Bistro-Mombasa_Coast_Province.html","4.5","87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.0691285133361816","Restaurants",
"Indian","Asian","Vegetarian Friendly","Vegan Options",,,,"Takeout","Seating","Wheelchair Accessible","Reservations",,,,,,,,,,,,,,,,,,,,,,,"Chili","Curry","Prawns","Fish",,,,,,,,,,,,,,"141","Singh Restaurant","http://www.facebook.com/SinghRestaurant1962/","2283276","39.6675","-4.056649","In April 1962, as Mombasa was growing into one of East Africa's busiest ports, Dalip Singh Wilkhu had a vision. While working as a signal operator for East African Railways, he was inspired to feed arriving visitors while preparing packaged meals for those preparing to depart. Singh Restaurant was born. Since then, Singh Restaurant has fed generations of people from various walks of life... Providing lunches and dinners for entire groups of workers, for families, for individuals... And becoming one of the most popular tourist destinations in the region, and drawing visitors from nearby cities such as Nairobi and Dar es Salaam. Our success comes from high quality in all aspects of our business, from the food we serve, to our operational efficiency, to the atmosphere we provide our visitors from the moment they walk in, until the moment they depart. Our quality of food and quality of service has helped Singh Restaurant gain recognition as the most highly recommended Indian restaurant in Mombasa by sources including TripAdvisor and Lonely Planet.","KES 889 - KES 1,779","https://www.tripadvisor.com/Restaurant_Review-g294210-d2283276-Reviews-Singh_Restaurant-Mombasa_Coast_Province.html","4.5","6",,"Africa/Nairobi","870","720","1320","1140",,,,,"870","720","1320","1140","870","720","1320","1140","870","720","1320","1140","870","720","1320","1140","870","720","1320","1140","3.883434534072876","Restaurants",
"Italian","African","Asian","South American","Central American",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","Baba Jay Restaurant",,"13497707","39.674023","-4.061062",,"KES 7,412 - KES 74,118","https://www.tripadvisor.com/Restaurant_Review-g294210-d13497707-Reviews-Baba_Jay_Restaurant-Mombasa_Coast_Province.html","5","76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.085911512374878","Restaurants",
"Chinese","Asian","Korean",,,,,"Reservations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7","New Overseas Chinese Korea Restaurant",,"17701705","39.664547","-4.061376",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d17701705-Reviews-New_Overseas_Chinese_Korea_Restaurant-Mombasa_Coast_Province.html","4","81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.0807597637176514","Restaurants",
"Barbecue",,,,,,,"Takeout","Seating","Table Service",,,,,,,,,,,,,,,,,,,,,,,,"Juice & Smoothies","Beef",,,,,,,,,,,,,,,,"33","Mubin's Cafe",,"11621493","39.688583","-4.051528",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d11621493-Reviews-Mubin_s_Cafe-Mombasa_Coast_Province.html","3.5","85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.0722038745880127","Restaurants",
,,,,,,,"Delivery","Parking Available","Free off-street parking","Television","Highchairs Available","Full Bar","Wine and Beer","Cash Only","Free Wifi","Table Service","Live Music","Beach","Family style","Sports bars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","Daisy's Bar & Restaurant","http://web.facebook.com/daisyskilifi","10954434","39.74364","-3.95229","Daisy’s is more like a homely back yard in Kilifi only a short walk from Bofa beach, one of the most beautiful stretches of white sands in East Africa,Where friends and family gather to play some meaningful music, Catch Live Soccer and Rugby Matches, Throw Barbecues, enjoy proper African dishes and tantalizing coastal delicacies. The ice cold drinks are served with a smile, the roof is thatched, the furniture is rustic and we are surrounded by a tropical garden giving the bar area a cool breeze away from the city hustle and noise. Come and meet different people and share ideas as well; Quoting Napoleon Hill,“All Achievements, All Earned Riches have their beginning in an idea” Talk to us also for catering services, meeting venue/events Karibu Nyumbani!","KES 148 - KES 1,038","https://www.tripadvisor.com/Restaurant_Review-g608436-d10954434-Reviews-Daisy_s_Bar_Restaurant-Kilifi_Coast_Province.html","5","8",,"Africa/Nairobi","1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"3.0759692192077637","Restaurants",
"Cafe","International","European","Contemporary",,,,"Takeout","Delivery","Reservations","Outdoor Seating","Buffet","Seating","Parking Available","Street Parking","Television","Highchairs Available","Wheelchair Accessible","Free Wifi","Accepts Credit Cards",,,,,,,,,,,,,,"Tapas",,,,,,,,,,,,,,,,,"27","Aroma Cafe","http://www.aromacafe.co.ke","3766217","39.672203","-4.063189","Aroma Café offers a rich menu of gourmet meals with a combination of local menus promising a unique experience for guests.","KES 148 - KES 741,180","https://www.tripadvisor.com/Restaurant_Review-g294210-d3766217-Reviews-Aroma_Cafe-Mombasa_Coast_Province.html","3.5","78",,"Africa/Nairobi","1140","420",,,"1410","360",,,"1410","360",,,"1410","360",,,"1410","360",,,"1410","360",,,"1410","360",,,"3.0843329429626465","Restaurants",
